date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:26	629/629	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/mikekus.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/mikekus.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:26	449203/449203	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/smashing/home-bgrnd.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/smashing/home-bgrnd.jpg	(from http://mikekus.com/assets/css/app.min.css)
11:00:26	657/657	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/mikekus-red.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/mikekus-red.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:26	449203/449203	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/portfolio/stamps/home-bgrnd.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/stamps/home-bgrnd.jpg	(from http://mikekus.com/assets/css/app.min.css)
11:00:27	657/657	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/mikekus-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/mikekus-white.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:28	155/155	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/arrow-right.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/arrow-right.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:28	145/145	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/arrow-right-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/arrow-right-white.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:29	152/152	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/arrow-left.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/arrow-left.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:29	163/163	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/arrow-left-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/arrow-left-white.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:30	7804/7804	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/js/vendor/modernizr.min.js	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/js/vendor/modernizr.min.js	(from http://mikekus.com/)
